380, 50.53191489361702, 7520
1160000, -0.07810548972206134, -0.09338417495100086, -0.02515217272234974
1180000, -0.08714926979358069, -0.1004363695363587, -0.02259533813660945
1200000, -0.09053052545060848, -0.09869145391866065, -0.027582996037751575
1220000, -0.08901197549976873, -0.08126454356720696, -0.03092988616251405
1240000, -0.09551526718158242, -0.058625078243374554, -0.028315791744876476
1260000, -0.10674129914240932, -0.04892221176355619, -0.024289920432592642
1280000, -0.10488791632629749, -0.04893428201655447, -0.025005586543526984
1300000, -0.08987049428575258, -0.05277700648166796, -0.03203926673196231
1320000, -0.07515469174225846, -0.05274594156070479, -0.041036443703013924
1340000, -0.06674291715357028, -0.043181487471363106, -0.049021072091604195
1360000, -0.058330820397740714, -0.022904507268735053, -0.05845431911628454
1380000, -0.04303999018875863, 0.0029867303069256064, -0.06839443594907764
1400000, -0.030540060146483212, 0.019505547575053732, -0.07479453651127668
1420000, -0.029143586308791995, 0.010503688519600495, -0.07140749539815519
1440000, -0.028981518964478276, -0.015736132455504585, -0.057591430461195775
1460000, -0.019258388009547996, -0.03350027923463927, -0.042292978410836936
1480000, -0.01639500402664112, -0.031438378037424074, -0.0367999277190357
1500000, -0.020668622582957808, -0.014669628455377646, -0.0370868984572592
1520000, -0.02754073403369641, 0.01017152207681558, -0.037257650169080225
1540000, -0.033409782851771534, 0.02828879767494934, -0.03539611861183367
1560000, -0.027137715616693547, 0.02335771319492951, -0.028827159206771313
1580000, -0.01676972630806608, 0.0037726023365548932, -0.02328852861633414
1600000, -0.01461408607678058, -0.008529855750315247, -0.022828347496413614
1620000, -0.02142951215666189, 0.0041270069104661225, -0.030749052426629227
1640000, -0.014922923717871307, 0.03135714232418468, -0.04437410526411761
1660000, 0.010486006228904528, 0.034862768641252484, -0.05708747686592963
1680000, 0.04315051000085491, 0.004651031065276124, -0.0654819362922973
1700000, 0.07091876285023793, -0.03291473424583084, -0.06965753963073681
1720000, 0.08060384742865824, -0.04244079640824408, -0.08012557877035095
1740000, 0.08366793604784575, -0.02296507361279277, -0.08976327022373944
1760000, 0.06310330333645181, -0.002260357620191925, -0.08907666091015047
1780000, 0.0421354608679181, -0.004534364466855117, -0.07471876372469091
