1503, 0, 0
460160, 1.1402614082842915, -0.29737517312489414, -0.27995196749601636
465217, 1.1405075226323165, -0.29725585038075397, -0.2799013554351202
470273, 1.1407532934514886, -0.29713087460214155, -0.2798411847995415
475330, 1.140998488584331, -0.2970007581846459, -0.27977210220189236
480387, 1.1412427139581915, -0.2968660031590875, -0.2796947512533469
485443, 1.1414854466980173, -0.2967270690198843, -0.27960973019168767
490500, 1.1417260672506073, -0.29658436508985636, -0.27951756270745204
495557, 1.1419638726973111, -0.2964382555126033, -0.2794186741895479
500614, 1.142198099912014, -0.2962890584829005, -0.2793133759815204
505670, 1.1424279604801193, -0.29613703265984953, -0.27920185472388903
510727, 1.1426526681073392, -0.2959823623767155, -0.2790841767394381
515784, 1.142871443394339, -0.2958251567723385, -0.278960311978031
520840, 1.143083519571023, -0.29566546680762185, -0.2788301787350624
525897, 1.1432881738943823, -0.29550331034854316, -0.27869370140514466
530954, 1.1434847941201476, -0.29533871252478283, -0.2785508785662423
536011, 1.1436729658663651, -0.2951717374278243, -0.2784018491378562
541067, 1.1438525375121127, -0.29500251752021805, -0.2782469263924592
546124, 1.1440236069032261, -0.29483129112208917, -0.278086609393944
551181, 1.1441864226284364, -0.29465844439554395, -0.2779215907310558
556237, 1.144341293573091, -0.2944844885297924, -0.2777526950182677
561294, 1.1444885476925126, -0.29430997337244263, -0.2775807627448563
566351, 1.1446285120594606, -0.2941353974663705, -0.2774065547203466
571407, 1.1447614975670801, -0.29396115561556246, -0.27723069452397475
576464, 1.1448877998861393, -0.29378752261919133, -0.27705365058033
581521, 1.1450077102542464, -0.29361465749915683, -0.27687574911964086
586578, 1.1451215192856143, -0.2934426165811979, -0.2766972025606147
591634, 1.145229509279034, -0.2932713765933931, -0.27651813436957184
596691, 1.1453319487365754, -0.29310085480874787, -0.27633860373259805
601748, 1.1454291030651467, -0.29293092576329083, -0.2761586237634573
606804, 1.145521251474254, -0.29276143508540264, -0.27597816459673674
611861, 1.1456086980235316, -0.29259220822754956, -0.2757971585983296
616918, 1.145691767309886, -0.2924230645751684, -0.2756155194877123
621975, 1.1457707945877422, -0.2922538276264707, -0.2754331575228722
627031, 1.1458461092136778, -0.29208432437243137, -0.27524997753204233
632088, 1.1459180197902934, -0.2919143831524887, -0.27506586985946835
637145, 1.1459868058107858, -0.2917438335306183, -0.2748807061684774
642201, 1.1460527144835315, -0.29157250577329086, -0.2746943331905166
647258, 1.1461159573557655, -0.2914002347306356, -0.27450656976748905
652315, 1.1461767101250098, -0.2912268642976655, -0.27431721090087136
657371, 1.1462351104460502, -0.29105224847935746, -0.27412603487481746
662428, 1.1462912615557563, -0.29087624676308427, -0.27393281069235753
667485, 1.146345235953884, -0.29069872230923083, -0.273737306540405
672542, 1.1463970796262999, -0.29051954118011253, -0.27353929848235536
677598, 1.146446821386762, -0.2903385654786196, -0.2733385763476447
682655, 1.1464944863198114, -0.29015564688550993, -0.2731349468254087
687712, 1.1465401133992617, -0.28997062159775605, -0.2729282355536827
692768, 1.1465837680257245, -0.2897832967532497, -0.27271827767622786
697825, 1.146625527627914, -0.2895935180129298, -0.27250498805066165
702882, 1.1466654858621608, -0.2894011838728023, -0.27228837655413957
707939, 1.1467037581297392, -0.2892062389276989, -0.27206853513608886
712995, 1.146740475917804, -0.2890086653864008, -0.2718456207680155
718052, 1.1467757737534638, -0.28880846825235773, -0.27161983573364124
723109, 1.1468097880011936, -0.2886056640457788, -0.2713914175896145
728165, 1.1468426675459498, -0.28840028550286984, -0.2711606442193853
733222, 1.1468745838072956, -0.28819239657907153, -0.27092784227111943
738279, 1.1469057348496197, -0.28798210730275897, -0.270693390434253
