380, 50.53191489361702, 7520
2200000, UnitQuaternion angle: 0.12227850528213777 − axis: (-0.0993978962537532, 0.9240507943188111, 0.3691208308116765)
2220000, UnitQuaternion angle: 0.16217176543265704 − axis: (-0.02411451669601329, 0.926901735503011, 0.37452858743495643)
2240000, UnitQuaternion angle: 0.1913478408264441 − axis: (-0.016612608005295983, 0.937973405837481, 0.3463089822642471)
2260000, UnitQuaternion angle: 0.20377589797777423 − axis: (0.007801289932915405, 0.9601587609742037, 0.27934618952093243)
2280000, UnitQuaternion angle: 0.19847847376709946 − axis: (0.08162989959699106, 0.9733980480244973, 0.21408596309399544)
2300000, UnitQuaternion angle: 0.1880448574517328 − axis: (0.136528979090043, 0.9771574074873077, 0.1628595679145513)
2320000, UnitQuaternion angle: 0.18584287778626496 − axis: (0.1605095563932725, 0.9804897287056256, 0.11347499376163733)
2340000, UnitQuaternion angle: 0.18892911376568886 − axis: (0.15854360116050883, 0.9868530276317388, 0.03138516186238644)
2360000, UnitQuaternion angle: 0.18962638048768643 − axis: (0.16892260821241373, 0.9825879958615211, -0.07736913353240323)
2380000, UnitQuaternion angle: 0.18886707118830368 − axis: (0.2631398832533853, 0.9512522962874531, -0.16086165064813346)
2400000, UnitQuaternion angle: 0.19318167097665212 − axis: (0.31423581749844853, 0.9278342567023677, -0.20094636869236138)
2420000, UnitQuaternion angle: 0.18289992764785584 − axis: (0.31647274716459795, 0.9226834793257179, -0.22022760335952488)
2440000, UnitQuaternion angle: 0.16431718077334903 − axis: (0.2528798565622985, 0.9427212299785686, -0.2175510530719774)
2460000, UnitQuaternion angle: 0.1460696759504325 − axis: (0.12798216340838237, 0.971158769393019, -0.20117457712232653)
2480000, UnitQuaternion angle: 0.12308870197681598 − axis: (0.02580271832215223, 0.9874501819439029, -0.1558087221760731)
2500000, UnitQuaternion angle: 0.08313967777824362 − axis: (-0.02129694210159162, 0.9972843922055663, -0.07050022212940675)
2520000, UnitQuaternion angle: 0.047401848560578 − axis: (-0.09916079311159252, 0.9890323261000397, 0.10946321317513459)
2540000, UnitQuaternion angle: 0.03596661964223354 − axis: (-0.25966764199885156, 0.8536785877478584, 0.4514483187692452)
2560000, UnitQuaternion angle: 0.04552217862273784 − axis: (-0.3714448493902589, 0.6879104972462194, 0.623544602767041)
2580000, UnitQuaternion angle: 0.0586881890781988 − axis: (-0.43272313375354643, 0.5793913112998206, 0.6906926942604683)
2600000, UnitQuaternion angle: 0.07020199530504108 − axis: (-0.44352085433142896, 0.44439050306541217, 0.7783356169149587)
2620000, UnitQuaternion angle: 0.0782273065043684 − axis: (-0.43160181120551827, 0.3886757721163619, 0.814033795818003)
2640000, UnitQuaternion angle: 0.08290845836025348 − axis: (-0.3070903682209163, 0.482360170706715, 0.820380504072184)
2660000, UnitQuaternion angle: 0.09336466391203646 − axis: (-0.11510262107333435, 0.6579161181805362, 0.7442430839855368)
2680000, UnitQuaternion angle: 0.1069571710549078 − axis: (-0.03140184637177402, 0.7861880446169605, 0.6171890168706857)
2700000, UnitQuaternion angle: 0.10879826835654138 − axis: (0.060620055030251925, 0.8391387247243207, 0.5405288240197463)
2720000, UnitQuaternion angle: 0.1067711292587198 − axis: (0.27338702826655653, 0.8190172060203116, 0.504450541696868)
2740000, UnitQuaternion angle: 0.1286243148347102 − axis: (0.3167371104202829, 0.8538130802633713, 0.41313536141776036)
2760000, UnitQuaternion angle: 0.15644433640799077 − axis: (0.08201748479262647, 0.9357804455387287, 0.34291119832345734)
2780000, UnitQuaternion angle: 0.20957012384495322 − axis: (-0.1321785116908892, 0.9558869852082847, 0.26231452982364106)
2800000, UnitQuaternion angle: 0.2740398036191567 − axis: (-0.19751661183228492, 0.9583130635165952, 0.20645401508261457)
2820000, UnitQuaternion angle: 0.3132563956150404 − axis: (-0.2040642127922154, 0.9588865837916085, 0.19721642041663773)
2840000, UnitQuaternion angle: 0.3363634522405102 − axis: (-0.19381002146535775, 0.9571990712070819, 0.21495956284821896)
2860000, UnitQuaternion angle: 0.35939801526289045 − axis: (-0.17262896298541, 0.9541549408135225, 0.24451500988635722)
2880000, UnitQuaternion angle: 0.39295994989048216 − axis: (-0.1638368994016765, 0.9519111454740538, 0.2588873143217331)
2900000, UnitQuaternion angle: 0.43318997933081926 − axis: (-0.17012890879305947, 0.9516142051938993, 0.25590341706602093)
2920000, UnitQuaternion angle: 0.47225749476207257 − axis: (-0.18642329613228648, 0.9531200850542231, 0.23834524984862657)
2940000, UnitQuaternion angle: 0.5131085258314202 − axis: (-0.19808873298625468, 0.9576092847823678, 0.2091537988239811)
2960000, UnitQuaternion angle: 0.5544070200256709 − axis: (-0.17408406311622418, 0.9671089015655966, 0.18545919087910365)
2980000, UnitQuaternion angle: 0.5825410588690108 − axis: (-0.13135761154071884, 0.9755109355438981, 0.17641879867119198)
3000000, UnitQuaternion angle: 0.5922300436537904 − axis: (-0.10343725791311761, 0.979254849181517, 0.17424314629247115)
3020000, UnitQuaternion angle: 0.5823350854442283 − axis: (-0.08249873331659392, 0.98222396535053, 0.16861210185582212)
3040000, UnitQuaternion angle: 0.5674700857678204 − axis: (-0.06235929194792315, 0.985974539120659, 0.15480803245813088)
3060000, UnitQuaternion angle: 0.5821774771105187 − axis: (-0.0650800108839573, 0.9877912109494762, 0.1415383896839006)
3080000, UnitQuaternion angle: 0.6159382847305928 − axis: (-0.11225942001342336, 0.9859699553286592, 0.12353570256185689)
3100000, UnitQuaternion angle: 0.6461359448871429 − axis: (-0.16380675091547828, 0.9810140217678732, 0.1038211801576975)
3120000, UnitQuaternion angle: 0.6653033773509172 − axis: (-0.21738649943738833, 0.9718840101674124, 0.09046867216482886)
3140000, UnitQuaternion angle: 0.656118330425444 − axis: (-0.25252052782241824, 0.9622490780749989, 0.1015386368438231)
3160000, UnitQuaternion angle: 0.6232407062574989 − axis: (-0.27552914310432675, 0.9508144418108847, 0.14154712481732393)
3180000, UnitQuaternion angle: 0.5944138573228122 − axis: (-0.29283929190212865, 0.9359393881042765, 0.19560830992893077)
3200000, UnitQuaternion angle: 0.585802897977138 − axis: (-0.29754604738999063, 0.9246653010897473, 0.23761403713417376)
3220000, UnitQuaternion angle: 0.6021725042902193 − axis: (-0.29083032305160583, 0.920345215516812, 0.26150030108780264)
3240000, UnitQuaternion angle: 0.6306116001612481 − axis: (-0.28491081331246965, 0.9169305864014784, 0.2793995851447673)
3260000, UnitQuaternion angle: 0.6574423493174134 − axis: (-0.2803909173091551, 0.9107505385557655, 0.3031738610284762)
3280000, UnitQuaternion angle: 0.6710115058109711 − axis: (-0.2740064797118402, 0.9017371565077069, 0.33435093786218123)
3300000, UnitQuaternion angle: 0.6770455700236011 − axis: (-0.26062336020914806, 0.8958238770517544, 0.35996533918872814)
